130	136	17680	18
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"Al2O3 WT%"	"CaO WT%"	"TiO2 WT%"	"K2O WT%"	"P2O5 WT%"	"FeO WT%"	"MnO WT%"	"Na2O WT%"	"MgO WT%"	"O WT%"	"Total"
0	-20.368	5.228	1	1	1	 65.4698	 23.6176	 5.42307	 .267164	 1.66803	 -.01702	 1.56141	 -.00715	 6.69765	 .111041	 .000000	 104.792
0	-20.3675	5.228	2	1	2	 66.1863	 21.6273	 5.02922	 .178335	 2.00470	 .147850	 1.27891	 -.00695	 5.89223	 .086577	 .000000	 102.424
0	-20.367	5.228	3	1	3	 66.4539	 20.8325	 4.36182	 .414953	 2.55681	 .270738	 1.82630	 -.00765	 6.13958	 .282344	 .000000	 103.131
0	-20.3665	5.228	4	1	4	 67.7226	 18.5066	 3.29127	 .857008	 3.11769	 .270314	 2.70863	 .141707	 4.82097	 .337023	 .000000	 101.774
0	-20.366	5.228	5	1	5	 68.3249	 16.0763	 2.88737	 1.20725	 4.18973	 .596531	 3.74847	 .082984	 3.02249	 .548880	 .000000	 100.685
0	-20.3655	5.228	6	1	6	 70.5910	 13.9857	 2.02010	 1.58902	 4.36861	 .555966	 4.48992	 .119687	 2.44051	 .662872	 .000000	 100.823
0	-20.365	5.228	7	1	7	 68.4920	 14.2809	 1.99700	 1.88190	 4.48601	 .554538	 4.80456	 .156320	 1.74357	 .853968	 .000000	 99.2508
0	-20.3645	5.228	8	1	8	 70.4482	 14.9708	 1.57734	 1.40729	 4.49545	 .597331	 5.12523	 .119045	 1.41229	 .793596	 .000000	 100.947
0	-20.364	5.228	9	1	9	 70.2020	 14.7604	 1.61646	 1.88221	 4.61036	 .964787	 4.96503	 .118922	 1.36385	 .804848	 .000000	 101.289
0	-20.3635	5.228	10	1	10	 70.8549	 14.0047	 2.08172	 1.43924	 4.79008	 .842167	 4.68387	 .156749	 1.18024	 .938409	 .000000	 100.972
0	-20.363	5.228	11	1	11	 68.5515	 14.0719	 2.30269	 1.17121	 4.57894	 .841815	 4.73609	 .100162	 1.34614	 .588731	 .000000	 98.2891
0	-20.3625	5.228	12	1	12	 70.5796	 14.7103	 1.71476	 1.90624	 5.15890	 .471779	 5.77383	 .080004	 1.40602	 .762878	 .000000	 102.564
0	-20.362	5.228	13	1	13	 68.9749	 14.5290	 1.65691	 1.31573	 4.65442	 .432477	 5.35237	 .155871	 1.07027	 .634064	 .000000	 98.7760
0	-20.3615	5.228	14	1	14	 69.8883	 13.9448	 1.89897	 1.43658	 4.70468	 1.08727	 5.03549	 .175035	 1.20098	 .668359	 .000000	 100.041
0	-20.361	5.228	15	1	15	 69.0264	 14.2838	 2.03750	 1.67239	 4.71602	 .881362	 5.33465	 .024247	 1.18654	 .953512	 .000000	 100.116
0	-20.3605	5.228	16	1	16	 68.1868	 14.6657	 1.91923	 1.19827	 4.70917	 .555205	 5.28270	 .005667	 .903378	 .802393	 .000000	 98.2285
0	-20.36	5.228	17	1	17	 67.9016	 14.6505	 1.79699	 1.31524	 4.71297	 .800136	 5.36860	 .174486	 1.23613	 .817451	 .000000	 98.7741
0	-20.3595	5.228	18	1	18	 68.5274	 13.8214	 1.95678	 1.52285	 4.61484	 .349831	 5.38677	 .118019	 1.25411	 .955201	 .000000	 98.5071
0	-20.359	5.228	19	1	19	 68.0228	 14.4996	 1.89616	 1.64118	 4.77121	 .799200	 5.45650	 .061592	 1.32036	 .875744	 .000000	 99.3443
0	-20.3585	5.228	20	1	20	 69.4380	 14.7827	 2.18244	 1.26169	 4.59272	 .719747	 4.64871	 .081720	 1.22804	 .745606	 .000000	 99.6813
0	-20.358	5.228	21	1	21	 69.5190	 14.0228	 2.10005	 1.49654	 4.77483	 .554967	 5.00033	 .080973	 .952531	 .881918	 .000000	 99.3839
0	-20.3575	5.228	22	1	22	 69.3322	 14.6689	 1.81608	 1.22535	 4.38246	 .268495	 5.74096	 .136812	 1.00626	 .839581	 .000000	 99.4171
0	-20.357	5.228	23	1	23	 68.5470	 13.9931	 2.15704	 1.93995	 4.72358	 .553841	 5.01514	 .155730	 1.17036	 .760166	 .000000	 99.0159
0	-20.3565	5.228	24	1	24	 67.8864	 14.2116	 1.45458	 1.64149	 4.49063	 .678176	 5.33348	 .137084	 1.28639	 .704566	 .000000	 97.8244
0	-20.356	5.228	25	1	25	 68.8362	 14.6479	 2.08026	 1.58838	 4.45672	 .719621	 4.70150	 -.03118	 1.21277	 .689502	 .000000	 98.9016
0	-20.3555	5.228	26	1	26	 69.9188	 13.8120	 1.95811	 1.46491	 4.76902	 .759484	 5.35265	 .099480	 1.31929	 .795599	 .000000	 100.249
0	-20.355	5.228	27	1	27	 70.0649	 14.2188	 1.87667	 1.58412	 4.28226	 .678893	 5.21207	 .193812	 1.15297	 .668964	 .000000	 99.9335
0	-20.3545	5.228	28	1	28	 70.7649	 14.1288	 1.93846	 1.49493	 4.88795	 .554999	 5.31764	 .137101	 1.02072	 .826915	 .000000	 101.073
